transcript_size,mode,revisions,n_agent_calls,e2e_wall_s,ttft_mean_s,ttft_max_s,decode_tps_mean,prompt_tokens,completion_tokens,total_tokens,cached_tokens,prefix_cache_hit_ratio,throughput_tok_per_s,host_cpu_percent_mean,host_cpu_percent_max,orchestrator_rss_mb_mean,orchestrator_rss_mb_max,host_mem_used_mb_mean,host_mem_used_mb_max,host_mem_percent_mean,host_mem_percent_max,vllm_gpu_cache_usage_perc_mean,vllm_gpu_cache_usage_perc_max,vllm_num_requests_running_mean,vllm_num_requests_running_max,vllm_num_requests_waiting_mean,vllm_num_requests_waiting_max,delta_prompt_tokens_total,delta_generation_tokens_total,delta_prefix_cache_queries_total,delta_prefix_cache_hits_total,delta_num_requests_total,delta_server_prefix_cache_hit_rate
large_finance,langgraph,1.0,9.0,48.94859742133364,3.2376816194816826,13.25772430599803,72.82023412654026,601292.3333333334,5033.0,606325.3333333334,0.0,0.0,12414.472792812985,0.7214973687595639,1.5666666666666667,135.31462679232052,135.86705066666667,18492.984114683724,18517.43163733333,9.099999999999973,9.1,0.36042854031603344,0.5892053973013494,1.9491880688941494,3.0,0.2518664431888215,2.0,601292.3333333334,5033.0,601292.3333333334,396714.6666666667,9.0,0.6597701965683757
large_finance,parallel,0.6666666666666666,7.666666666666667,47.85829921033413,3.9819715680738024,13.228565675999562,72.91423743708471,512328.0,4901.666666666667,517229.6666666667,0.0,0.0,10656.276639943228,0.6823561174782821,1.5666666666666667,103.80585688733758,104.38246399999998,18463.600748857065,18487.37792,9.099999999999975,9.1,0.3597479392064101,0.5904547726136932,1.9462509244359156,3.0,0.2595753093135292,2.0,512328.0,4901.666666666667,512328.0,308309.3333333333,7.666666666666667,0.570852148233001
large_finance,sequential,0.6666666666666666,7.666666666666667,67.5315641586664,2.5681826411848303,4.417071773666976,100.86180206835654,512569.0,5060.333333333333,517629.3333333333,0.0,0.0,7630.299079541736,0.8061886035895354,1.4666666666666668,101.87780995544284,102.24162133333334,18450.415000425386,18475.872256,9.099999999999959,9.1,0.17200906190919718,0.2021489255372314,0.9772339948955286,1.0,0.0,0.0,512569.0,5060.333333333333,512569.0,263594.6666666667,7.666666666666667,0.43781432503510853
large_meetingbank,langgraph,1.6666666666666667,10.333333333333334,41.026865827666676,2.6180924205243907,11.689883886667909,75.44348202394535,633635.6666666666,4353.666666666667,637989.3333333334,0.0,0.0,15433.199457833516,0.7324260901102768,1.5333333333333332,140.31805127953675,140.85870933333334,18565.679964702063,18590.994432000003,9.200000000000026,9.2,0.32555448411739024,0.5414012738853503,1.9261637239165328,3.0,0.2653205327211812,2.0,633635.6666666666,4353.666666666667,633635.6666666666,446848.0,10.333333333333334,0.6964112441789512
large_meetingbank,parallel,1.3333333333333333,10.333333333333334,37.94994590499967,2.623285943507415,11.711079004665711,75.71042497715574,633582.6666666666,3937.3333333333335,637520.0,0.0,0.0,16745.72153290298,0.7196822940652732,1.5666666666666667,137.6311142917169,138.11165866666667,18563.611181300454,18589.668693333337,9.200000000000026,9.2,0.32391118671963354,0.5414012738853503,1.9259046390961283,3.0,0.281310982162046,2.0,633582.6666666666,3937.3333333333335,633582.6666666666,446720.0,10.333333333333334,0.6963426996690586
large_meetingbank,sequential,2.0,13.0,63.14067154966566,1.2480299465129905,3.8752317180005775,105.69338790420552,796927.6666666666,4930.0,801857.6666666666,0.0,0.0,12753.002018443765,0.9030319120407615,1.6666666666666667,136.52241446133408,137.490432,18552.872053510924,18577.955498666666,9.200000000000012,9.2,0.1566330386763016,0.1833395778693643,0.95507866273353,1.0,0.0,0.0,796927.6666666666,4930.0,796927.6666666666,568661.3333333334,13.0,0.7135408937057067
medium_finance,langgraph,3.0,13.0,30.08177221733422,0.5734282093080998,2.866054211333297,105.66984425748267,288053.6666666667,5718.666666666667,293772.3333333333,0.0,0.0,9791.587632607876,1.1064668212160076,1.8,133.701828523416,133.92418133333334,18541.451767831157,18560.69085866667,9.172740948998737,9.2,0.1285500338259562,0.19557886849007122,2.0183050540922696,3.0,0.08246276018545921,2.0,288053.6666666667,5718.666666666667,288053.6666666667,217514.66666666666,13.0,0.7551214583535556
medium_finance,parallel,2.0,13.0,31.006710232334928,0.570610355564452,2.864752375000535,106.2524810741537,288025.3333333333,5803.333333333333,293828.6666666667,0.0,0.0,9484.468292527015,1.1145635509271872,1.8333333333333333,133.94508653356087,134.078464,18539.413038307797,18562.291029333333,9.17323114595844,9.2,0.12602309075281587,0.1957037592106907,1.971303107666744,3.0,0.07709294072930437,2.0,288025.3333333333,5803.333333333333,288025.3333333333,217514.66666666666,13.0,0.7551937066607861
medium_finance,sequential,2.0,13.0,49.811170273334334,0.3496630223586787,0.9951328906657485,125.15471389374898,288073.3333333333,5639.666666666667,293713.0,0.0,0.0,5906.020618591482,1.2309226259322097,1.8,131.81928454431588,132.243456,18524.248002427976,18551.782058666668,9.107037142847021,9.2,0.06161449866004126,0.0694392406644186,0.9688858015722843,1.0,0.0,0.0,288073.3333333333,5639.666666666667,288073.3333333333,203093.33333333334,13.0,0.7050771552227867
medium_welsh,langgraph,0.0,5.0,10.651855004332901,0.684446950667431,1.546051553000628,117.92782838964244,66862.33333333333,1991.3333333333333,68853.66666666667,0.0,0.0,6491.870878907856,1.2413949779310856,1.8666666666666665,131.32595200000006,131.325952,18526.2802890599,18536.845312,9.109547123623013,9.166666666666666,0.06776298540045962,0.1177719495441489,1.772699454767998,3.0,0.1368458143243945,2.0,66862.33333333333,1991.3333333333333,66862.33333333333,26496.0,5.0,0.3962734018519325
